id;Gemeente;Groep_rij;Geslacht;Bij geboorte;Bij geboorte (afwijking tov NL);Bij 65 jaar;Bij 65 jaar (afwijking tov NL)
0779;Geertruidenberg;Levensverwachting;Totaal;80,5;onder, 99% zeker;19,1;onder, 99% zeker
1771;Geldrop-Mierlo;Levensverwachting;Totaal;82,1;geen;20,2;geen
1652;Gemert-Bakel;Levensverwachting;Totaal;81,8;geen;20,2;geen
0907;Gennep;Levensverwachting;Totaal;80,1;onder, 99% zeker;19,0;onder, 99% zeker
0784;Gilze en Rijen;Levensverwachting;Totaal;82,0;geen;20,2;geen
1924;Goeree-Overflakkee;Levensverwachting;Totaal;82,4;boven, 95% zeker;20,5;boven, 99% zeker
0664;Goes;Levensverwachting;Totaal;82,0;geen;20,8;boven, 99% zeker
0785;Goirle;Levensverwachting;Totaal;83,1;boven, 99% zeker;20,9;boven, 99% zeker
1942;Gooise Meren;Levensverwachting;Totaal;83,5;boven, 99% zeker;21,2;boven, 99% zeker
0512;Gorinchem;Levensverwachting;Totaal;81,4;geen;19,7;geen
0513;Gouda;Levensverwachting;Totaal;81,7;geen;19,7;onder, 95% zeker
0786;Grave;Levensverwachting;Totaal;81,1;geen;19,4;geen
0014;Groningen;Levensverwachting;Totaal;80,9;onder, 99% zeker;19,5;onder, 99% zeker
1729;Gulpen-Wittem;Levensverwachting;Totaal;81,3;geen;20,0;geen
0158;Haaksbergen;Levensverwachting;Totaal;82,2;geen;20,1;geen
0788;Haaren;Levensverwachting;Totaal;82,0;geen;21,1;boven, 99% zeker
0392;Haarlem;Levensverwachting;Totaal;81,0;onder, 99% zeker;19,1;onder, 99% zeker
0394;Haarlemmermeer;Levensverwachting;Totaal;83,0;boven, 99% zeker;20,7;boven, 99% zeker
1655;Halderberge;Levensverwachting;Totaal;81,8;geen;19,9;geen
0160;Hardenberg;Levensverwachting;Totaal;81,7;geen;20,0;geen
0243;Harderwijk;Levensverwachting;Totaal;82,3;geen;20,3;geen
0523;Hardinxveld-Giessendam;Levensverwachting;Totaal;82,1;geen;19,9;geen
0072;Harlingen;Levensverwachting;Totaal;80,7;onder, 95% zeker;19,4;onder, 95% zeker
0244;Hattem;Levensverwachting;Totaal;83,1;boven, 95% zeker;21,2;boven, 99% zeker
0396;Heemskerk;Levensverwachting;Totaal;81,9;geen;20,0;geen
0397;Heemstede;Levensverwachting;Totaal;82,8;boven, 99% zeker;20,8;boven, 99% zeker
0246;Heerde;Levensverwachting;Totaal;81,1;geen;19,5;onder, 95% zeker
0074;Heerenveen;Levensverwachting;Totaal;81,4;geen;19,6;onder, 95% zeker
0398;Heerhugowaard;Levensverwachting;Totaal;82,4;boven, 95% zeker;20,4;boven, 95% zeker
0917;Heerlen;Levensverwachting;Totaal;79,8;onder, 99% zeker;19,2;onder, 99% zeker
1658;Heeze-Leende;Levensverwachting;Totaal;82,2;geen;20,5;geen
0399;Heiloo;Levensverwachting;Totaal;85,2;boven, 99% zeker;22,8;boven, 99% zeker
0163;Hellendoorn;Levensverwachting;Totaal;81,8;geen;20,1;geen
0530;Hellevoetsluis;Levensverwachting;Totaal;82,2;geen;20,2;geen
0794;Helmond;Levensverwachting;Totaal;81,0;onder, 99% zeker;19,7;onder, 95% zeker
0531;Hendrik-Ido-Ambacht;Levensverwachting;Totaal;82,8;boven, 99% zeker;20,5;boven, 95% zeker
0164;Hengelo;Levensverwachting;Totaal;81,6;geen;19,8;geen
1966;Het Hogeland;Levensverwachting;Totaal;81,3;geen;19,8;geen
0252;Heumen;Levensverwachting;Totaal;83,9;boven, 99% zeker;21,4;boven, 99% zeker
0797;Heusden;Levensverwachting;Totaal;83,1;boven, 99% zeker;21,0;boven, 99% zeker
0534;Hillegom;Levensverwachting;Totaal;81,2;geen;19,9;geen
0798;Hilvarenbeek;Levensverwachting;Totaal;82,4;geen;21,0;boven, 99% zeker
0402;Hilversum;Levensverwachting;Totaal;81,6;geen;19,7;onder, 95% zeker
1963;Hoeksche Waard;Levensverwachting;Totaal;82,8;boven, 99% zeker;20,3;boven, 95% zeker
1735;Hof van Twente;Levensverwachting;Totaal;82,2;geen;20,2;geen
1911;Hollands Kroon;Levensverwachting;Totaal;82,5;boven, 95% zeker;20,6;boven, 99% zeker
0118;Hoogeveen;Levensverwachting;Totaal;81,7;geen;20,1;geen
0405;Hoorn;Levensverwachting;Totaal;80,9;onder, 99% zeker;19,1;onder, 99% zeker
1507;Horst aan de Maas;Levensverwachting;Totaal;82,4;geen;20,7;boven, 99% zeker
0321;Houten;Levensverwachting;Totaal;83,1;boven, 99% zeker;20,7;boven, 99% zeker
0406;Huizen;Levensverwachting;Totaal;82,1;geen;20,0;geen
0677;Hulst;Levensverwachting;Totaal;82,4;geen;21,0;boven, 99% zeker
0353;IJsselstein;Levensverwachting;Totaal;82,2;geen;20,4;geen
1884;Kaag en Braassem;Levensverwachting;Totaal;83,3;boven, 99% zeker;20,9;boven, 99% zeker
0166;Kampen;Levensverwachting;Totaal;82,2;geen;20,3;geen
0678;Kapelle;Levensverwachting;Totaal;83,3;boven, 99% zeker;21,2;boven, 99% zeker
0537;Katwijk;Levensverwachting;Totaal;81,0;onder, 99% zeker;19,4;onder, 99% zeker
0928;Kerkrade;Levensverwachting;Totaal;78,7;onder, 99% zeker;18,2;onder, 99% zeker
1598;Koggenland;Levensverwachting;Totaal;82,0;geen;20,3;geen
0542;Krimpen aan den IJssel;Levensverwachting;Totaal;83,8;boven, 99% zeker;21,7;boven, 99% zeker
1931;Krimpenerwaard;Levensverwachting;Totaal;83,2;boven, 99% zeker;20,9;boven, 99% zeker
1659;Laarbeek;Levensverwachting;Totaal;81,6;geen;19,7;geen
1685;Landerd;Levensverwachting;Totaal;82,0;geen;19,7;geen
